version,topology,query_type,index_size,timeout_ms,iter,observed_ms,timed_out,error
old,sa,AGGREGATE,100000,50,11,161.644,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,12,158.219,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,13,155.419,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,14,158.104,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,15,164.481,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,16,165.598,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,17,154.761,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,18,154.023,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,19,162.366,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,20,155.884,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,21,154.470,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,22,156.429,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,23,161.234,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,24,166.013,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,25,162.903,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,26,163.027,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,27,164.286,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,28,157.569,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,29,158.580,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,30,158.820,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,31,160.141,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,32,157.262,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,33,156.654,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,34,158.013,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,35,176.006,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,36,190.580,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,37,188.672,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,38,188.642,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,39,188.676,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,40,180.770,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,41,176.926,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,42,169.998,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,43,185.837,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,44,180.230,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,45,174.747,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,46,178.218,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,47,181.990,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,48,177.878,1,Timeout limit was reached
old,sa,AGGREGATE,100000,50,49,171.157,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,0,178.168,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,1,181.639,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,2,179.737,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,3,176.457,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,4,178.543,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,5,185.443,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,6,179.261,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,7,179.361,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,8,176.427,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,9,182.316,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,10,182.134,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,11,177.247,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,12,179.085,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,13,182.152,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,14,179.315,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,15,175.330,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,16,177.360,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,17,180.023,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,18,177.540,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,19,174.265,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,20,177.310,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,21,171.629,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,22,180.181,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,23,182.309,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,24,181.584,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,25,185.492,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,26,186.702,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,27,190.986,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,28,187.307,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,29,191.741,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,30,188.397,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,31,195.296,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,32,198.771,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,33,201.227,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,34,190.414,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,35,198.059,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,36,191.430,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,37,187.615,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,38,180.956,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,39,184.507,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,40,190.672,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,41,193.812,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,42,195.389,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,43,196.499,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,44,189.870,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,45,201.819,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,46,190.816,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,47,186.737,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,48,187.008,1,Timeout limit was reached
old,sa,AGGREGATE,100000,100,49,188.901,1,Timeout limit was reached
old,sa,AGGREGATE,100000,500,0,676.469,0,
old,sa,AGGREGATE,100000,500,1,656.023,0,
old,sa,AGGREGATE,100000,500,2,669.444,0,
old,sa,AGGREGATE,100000,500,3,660.792,0,
old,sa,AGGREGATE,100000,500,4,657.355,0,
old,sa,AGGREGATE,100000,500,5,661.646,0,
old,sa,AGGREGATE,100000,500,6,677.091,0,
old,sa,AGGREGATE,100000,500,7,657.491,0,
old,sa,AGGREGATE,100000,500,8,670.240,0,
old,sa,AGGREGATE,100000,500,9,662.638,0,
old,sa,AGGREGATE,100000,500,10,667.044,0,
old,sa,AGGREGATE,100000,500,11,664.378,0,
old,sa,AGGREGATE,100000,500,12,662.679,0,
old,sa,AGGREGATE,100000,500,13,651.454,0,
old,sa,AGGREGATE,100000,500,14,653.149,0,
old,sa,AGGREGATE,100000,500,15,652.630,0,
old,sa,AGGREGATE,100000,500,16,652.563,0,
old,sa,AGGREGATE,100000,500,17,651.980,0,
old,sa,AGGREGATE,100000,500,18,652.017,0,
old,sa,AGGREGATE,100000,500,19,644.433,0,
old,sa,AGGREGATE,100000,500,20,666.067,0,
old,sa,AGGREGATE,100000,500,21,666.281,0,
old,sa,AGGREGATE,100000,500,22,664.294,0,
old,sa,AGGREGATE,100000,500,23,660.539,0,
old,sa,AGGREGATE,100000,500,24,662.825,0,
old,sa,AGGREGATE,100000,500,25,667.983,0,
old,sa,AGGREGATE,100000,500,26,661.844,0,
old,sa,AGGREGATE,100000,500,27,659.995,0,
old,sa,AGGREGATE,100000,500,28,667.591,0,
old,sa,AGGREGATE,100000,500,29,668.144,0,
old,sa,AGGREGATE,100000,500,30,660.291,0,
old,sa,AGGREGATE,100000,500,31,662.079,0,
old,sa,AGGREGATE,100000,500,32,664.217,0,
old,sa,AGGREGATE,100000,500,33,663.189,0,
old,sa,AGGREGATE,100000,500,34,658.229,0,
old,sa,AGGREGATE,100000,500,35,671.273,0,
old,sa,AGGREGATE,100000,500,36,686.296,0,
