size,workers,selectivity,fields,contender,matches_mean,k,window,qps,mean_ms,p50_ms,p90_ms,p99_ms,p999_ms
500000,6,medium,none,search_branch,46688.31640625,100,200,121.16924868096812,8.252919044112787,7.735833496553823,11.958366679027675,17.77321659785227,23.018688188865845
500000,6,medium,none,vsim_branch,46688.31640625,100,200,1336.6543317556627,0.7481365796993487,0.7659999828319997,0.8872961276210845,1.0200890083797274,1.134307988744698
500000,6,medium,title+text,hybrid_linear,46688.31640625,100,200,99.36177574730685,10.064232371844506,9.542687505017966,14.015995594672857,20.744066493934927,24.40119979059105
500000,6,medium,title+text,hybrid_rrf,46688.31640625,100,200,103.08245337412464,9.700972059431175,9.149770980002359,13.448553788475692,20.12739124649669,25.397003035526733
500000,6,medium,title+text,search_branch,46688.31640625,100,200,118.48117835371255,8.440159136623455,7.882021018303931,12.076099659316242,18.566549618262773,22.670586082851568
500000,6,medium,title+text,vsim_branch,46688.31640625,100,200,1273.6013431785723,0.7851750513267083,0.8066249720286578,0.9184662834741175,1.0025141685036938,1.0969520786893627
500000,6,broad,none,hybrid_linear,500000.0,1000,2000,14.623399630747537,68.38355138003438,67.8830414544791,81.76747939432971,92.53657372319127,101.6323043105664
500000,6,broad,none,hybrid_rrf,500000.0,1000,2000,14.626123345017742,68.37081681938919,67.7442915039137,80.96493723569438,92.94119322206814,103.57303808175507
500000,6,broad,none,search_branch,500000.0,1000,2000,19.33517609413792,51.71920830362554,51.28874952788465,65.06629142095335,76.01705805573137,81.66999971732743
500000,6,broad,none,vsim_branch,500000.0,1000,2000,112.29238329856233,8.905323501249464,9.02833350119181,10.215191711904481,11.19950917433016,11.884918075695168
500000,6,broad,title+text,hybrid_linear,500000.0,1000,2000,14.26833174887351,70.08527819511558,69.42664552479982,83.36473358795047,95.67346337309573,102.48787887149975
500000,6,broad,title+text,hybrid_rrf,500000.0,1000,2000,14.197796367921066,70.43346545379609,70.0945410062559,83.55400449363515,95.07903944933786,102.85937357915168
500000,6,broad,title+text,search_branch,500000.0,1000,2000,19.313421247999447,51.77746537805069,51.28302099183202,64.91644142661244,75.61112461495213,84.05775104393261
500000,6,broad,title+text,vsim_branch,500000.0,1000,2000,110.85035540610197,9.021170895992933,9.149791992967948,10.302462213439867,11.136219596373847,11.63157642981972
